episode,reward
1,30
2,85
3,90
4,20
5,55
6,100
7,90
8,90
9,90
10,95
11,90
12,-15
13,70
14,90
15,75
16,55
17,45
18,70
19,90
20,95
21,55
22,60
23,90
24,65
25,35
26,50
27,45
28,85
29,25
30,110
31,80
32,95
33,65
34,75
35,85
36,140
37,55
38,70
39,65
40,130
41,70
42,35
43,55
44,90
45,80
46,60
47,65
48,95
49,80
50,70
51,65
52,50
53,105
54,100
55,65
56,75
57,30
58,70
59,85
60,95
61,85
62,90
63,65
64,100
65,105
66,80
67,65
68,65
69,60
70,60
71,100
72,45
73,105
74,100
75,90
76,90
77,100
78,45
79,55
80,90
81,95
82,85
83,65
84,85
85,45
86,90
87,85
88,65
89,105
90,65
91,100
92,30
93,85
94,95
95,85
96,20
97,35
98,80
99,70
100,45
101,85
102,20
103,20
104,85
105,75
106,65
107,100
108,60
109,70
110,115
111,110
112,65
113,110
114,85
115,35
116,115
117,115
118,45
119,50
120,80
121,95
122,50
123,70
124,80
125,50
126,60
127,110
128,25
129,55
130,30
131,60
132,80
133,75
134,85
135,50
136,75
137,70
138,50
139,85
140,45
141,50
142,50
143,85
144,95
145,25
146,65
147,45
148,110
149,60
150,105
151,85
152,75
153,40
154,80
155,60
156,30
157,75
158,90
159,70
160,60
161,80
162,80
163,85
164,70
165,45
166,85
167,25
168,70
169,90
170,45
171,65
172,45
173,50
174,90
175,70
176,30
177,40
178,50
179,75
180,60
181,65
182,50
183,90
184,80
185,90
186,100
187,70
188,85
189,65
190,45
191,125
192,35
193,75
194,85
195,70
196,95
197,95
198,45
199,105
200,80
201,70
202,90
203,65
204,70
205,65
206,145
207,65
208,70
209,80
210,75
211,75
212,75
213,75
214,105
215,120
216,45
217,85
218,95
219,85
220,100
221,85
222,90
223,55
224,95
225,10
226,60
227,30
228,80
229,40
230,45
231,55
232,105
233,60
234,110
235,65
236,90
237,60
238,30
239,120
240,100
241,105
242,70
243,115
244,85
245,110
246,90
247,85
248,110
249,90
250,50
251,75
252,70
253,85
254,35
255,85
256,0
257,75
258,70
259,45
260,40
261,100
262,85
263,65
264,115
265,80
266,80
267,85
268,85
269,40
270,50
271,90
272,35
273,80
274,30
275,35
276,35
277,95
278,25
279,65
280,60
281,55
282,105
283,95
284,85
285,60
286,50
287,80
288,85
289,0
290,35
291,50
292,90
293,90
294,85
295,75
296,70
297,100
298,70
299,60
300,55
301,80
302,85
303,50
304,50
305,90
306,45
307,95
308,75
309,30
310,90
311,55
312,50
313,80
314,90
315,45
316,135
317,80
318,65
319,50
320,80
321,90
322,60
323,80
324,85
325,65
326,40
327,95
328,85
329,15
330,75
331,45
332,15
333,75
334,45
335,65
336,85
337,45
338,115
339,65
340,85
341,70
342,60
343,100
344,85
345,35
346,60
347,35
348,105
349,45
350,95
351,80
352,100
353,35
354,55
355,30
356,35
357,60
358,65
359,95
360,40
361,55
362,55
363,80
364,95
365,55
366,100
367,50
368,55
369,75
370,80
371,95
372,80
373,90
374,65
375,95
376,55
377,90
378,50
379,95
380,50
381,110
382,40
383,115
384,45
385,55
386,95
387,65
388,25
389,55
390,95
391,110
392,55
393,20
394,65
395,40
396,100
397,40
398,35
399,70
400,75
401,95
402,55
403,90
404,60
405,55
406,100
407,80
408,50
409,60
410,55
411,90
412,60
413,75
414,120
415,75
416,100
417,60
418,80
419,60
420,85
421,80
422,60
423,55
424,40
425,95
426,60
427,105
428,85
429,100
430,85
431,75
432,110
433,95
434,75
435,65
436,65
437,85
438,60
439,85
440,80
441,10
442,100
443,70
444,70
445,65
446,75
447,80
448,90
449,85
450,60
451,45
452,70
453,75
454,-15
455,45
456,75
457,65
458,90
459,75
460,80
461,60
462,45
463,80
464,80
465,80
466,25
467,60
468,100
469,75
470,100
471,40
472,45
473,100
474,105
475,40
476,50
477,10
478,60
479,85
480,75
481,80
482,85
483,60
484,70
485,80
486,90
487,90
488,25
489,60
490,75
491,105
492,25
493,110
494,65
495,40
496,65
497,85
498,105
499,70
500,115
501,65
502,110
503,45
504,30
505,45
506,55
507,85
508,110
509,120
510,75
511,75
512,55
513,45
514,85
515,50
516,95
517,80
518,105
519,80
520,60
521,90
522,55
523,115
524,55
525,55
526,85
527,75
528,55
529,50
530,70
531,90
532,90
533,75
534,85
535,45
536,75
537,80
538,50
539,110
540,75
541,90
542,55
543,85
544,90
545,85
546,105
547,60
548,95
549,75
550,55
551,65
552,95
553,65
554,55
555,105
556,60
557,80
558,45
559,80
560,75
561,105
562,60
563,60
564,100
565,100
566,60
567,95
568,45
569,45
570,70
571,110
572,85
573,95
574,75
575,65
576,100
577,75
578,60
579,85
580,55
581,70
582,65
583,50
584,45
585,60
586,125
587,75
588,80
589,85
590,105
591,45
592,90
593,70
594,100
595,5
596,80
597,80
598,80
599,40
600,50
601,55
602,40
603,60
604,60
605,80
606,80
607,110
608,65
609,70
610,110
611,95
612,80
613,70
614,55
615,45
616,40
617,55
618,50
619,50
620,120
621,60
622,65
623,60
624,110
625,55
626,90
627,70
628,45
629,20
630,95
631,95
632,45
633,25
634,85
635,70
636,55
637,60
638,60
639,65
640,80
641,70
642,90
643,40
644,65
645,60
646,55
647,115
648,90
649,70
650,90
651,15
652,30
653,55
654,110
655,100
656,50
657,55
658,80
659,95
660,45
661,130
662,115
663,70
664,85
665,60
666,90
667,65
668,90
669,70
670,100
671,70
672,60
673,100
674,55
675,90
676,95
677,40
678,90
679,60
680,15
681,45
682,60
683,65
684,70
685,70
686,85
687,45
688,70
689,35
690,50
691,50
692,60
693,45
694,110
695,35
696,105
697,80
698,110
699,20
700,110
701,110
702,40
703,65
704,55
705,95
706,70
707,110
708,65
709,105
710,5
711,75
712,95
713,90
714,50
715,85
716,70
717,65
718,90
719,85
720,95
721,115
722,60
723,90
724,50
725,70
726,45
727,45
728,85
729,95
730,85
731,85
732,50
733,100
734,90
735,75
736,65
737,90
738,125
739,25
740,55
741,85
742,55
743,50
744,50
745,50
746,60
747,60
748,70
749,70
750,30
751,30
752,65
753,90
754,85
755,40
756,60
757,60
758,75
759,65
760,90
761,60
762,65
763,60
764,105
765,45
766,85
767,95
768,65
769,70
770,75
771,95
772,85
773,60
774,100
775,40
776,110
777,65
778,45
779,90
780,65
781,85
782,30
783,45
784,70
785,50
786,25
787,55
788,80
789,80
790,55
791,70
792,65
793,30
794,115
795,30
796,80
797,95
798,120
799,55
800,50
801,75
802,100
803,90
804,80
805,85
806,35
807,85
808,45
809,75
810,25
811,110
812,110
813,75
814,65
815,75
816,15
817,60
818,55
819,55
820,100
821,100
822,35
823,50
824,35
825,75
826,55
827,75
828,100
829,100
830,60
831,70
832,60
833,65
834,120
835,90
836,80
837,75
838,80
839,105
840,20
841,75
842,50
843,65
844,45
845,50
846,45
847,85
848,85
849,80
850,90
851,60
852,50
853,80
854,105
855,60
856,50
857,85
858,65
859,60
860,55
861,80
862,50
863,65
864,55
865,45
866,50
867,65
868,60
869,30
870,60
871,20
872,95
873,55
874,55
875,50
876,60
877,85
878,45
879,75
880,45
881,70
882,90
883,115
884,45
885,110
886,80
887,55
888,60
889,125
890,30
891,75
892,95
893,65
894,60
895,80
896,10
897,100
898,30
899,90
900,65
901,35
902,100
903,95
904,100
905,60
906,55
907,55
908,55
909,75
910,80
911,85
912,50
913,60
914,75
915,85
916,85
917,50
918,70
919,85
920,80
921,65
922,65
923,105
924,75
925,60
926,95
927,45
928,85
929,85
930,65
931,60
932,95
933,115
934,105
935,115
936,105
937,50
938,65
939,95
940,110
941,70
942,50
943,35
944,100
945,45
946,70
947,70
948,65
949,40
950,45
951,45
952,55
953,80
954,60
955,70
956,65
957,60
958,70
959,95
960,55
961,90
962,100
963,70
964,35
965,50
966,50
967,60
968,60
969,80
970,55
971,75
972,70
973,45
974,50
975,40
976,70
977,75
978,75
979,65
980,30
981,70
982,70
983,100
984,65
985,80
986,85
987,60
988,50
989,55
990,60
991,80
992,80
993,90
994,85
995,70
996,85
997,110
998,75
999,45
1000,85
